wahl_jahr;gemeinde_nummer;gemeinde_bezeichnung;kanton_nummer;partei_id;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;stimmen_partei;letzte_wahl_stimmen_partei;differenz_stimmen_partei;partei_staerke;letzte_wahl_partei_staerke;differenz_partei_staerke;flag_staerkste_partei;partei_rang
2019;4231;Dietwil;19;2;CVP;PDC;PPD;CVP;1232;1174;58;22.322884581;19.114295018;3.2085895626;0;2
2019;4231;Dietwil;19;3;SP;PS;PS;SP;363;438;-75;6.5772784925;7.1312276132;-0.553949121;0;4
2019;4231;Dietwil;19;4;SVP;UDC;UDC;SVP;2600;3207;-607;47.109983693;52.214262455;-5.104278763;1;1
2019;4231;Dietwil;19;7;EVP;PEV;PEV;EVP;95;64;31;1.7213263272;1.0420058613;0.679320466;0;9
2019;4231;Dietwil;19;13;GPS;PES;PES;GPS;232;79;153;4.2036600833;1.286225985;2.9174340983;0;6
2019;4231;Dietwil;19;16;EDU;UDF;UDF;EDU;54;45;9;0.9784381228;0.7326603712;0.2457777516;0;10
2019;4231;Dietwil;19;31;GLP;PVL;PVL;GLP;320;224;96;5.7981518391;3.6470205145;2.1511313246;0;5
2019;4231;Dietwil;19;32;BDP;PBD;PBD;BDP;120;380;-260;2.1743069397;6.1869098014;-4.012602862;0;7
2019;4231;Dietwil;19;35;Übrige;Autres;Rimanenti;Others;114;63;51;2.0655915927;1.0257245197;1.039867073;0;8
2019;4232;Geltwil;19;1;FDP;PLR;PLR;FDP;169;330;-161;13.795918367;28.670721112;-14.87480274;0;3
2019;4232;Geltwil;19;2;CVP;PDC;PPD;CVP;293;149;144;23.918367347;12.945264987;10.97310236;0;2
2019;4232;Geltwil;19;3;SP;PS;PS;SP;97;118;-21;7.9183673469;10.251954822;-2.333587475;0;4
2019;4232;Geltwil;19;4;SVP;UDC;UDC;SVP;505;408;97;41.224489796;35.447437011;5.7770527846;1;1
2019;4232;Geltwil;19;7;EVP;PEV;PEV;EVP;8;17;-9;0.6530612245;1.4769765421;-0.823915318;0;9
2019;4232;Geltwil;19;13;GPS;PES;PES;GPS;58;59;-1;4.7346938776;5.1259774109;-0.391283533;0;6
2019;4232;Geltwil;19;16;EDU;UDF;UDF;EDU;2;1;1;0.1632653061;0.0868809731;0.0763843331;0;10
2019;4232;Geltwil;19;31;GLP;PVL;PVL;GLP;71;38;33;5.7959183673;3.3014769765;2.4944413908;0;5
2019;4232;Geltwil;19;32;BDP;PBD;PBD;BDP;11;29;-18;0.8979591837;2.5195482189;-1.621589035;0;8
2019;4232;Geltwil;19;35;Übrige;Autres;Rimanenti;Others;11;2;9;0.8979591837;0.1737619461;0.7241972375;0;7
2019;4233;Kallern;19;1;FDP;PLR;PLR;FDP;136;176;-40;7.1843634443;8.7431693989;-1.558805955;0;6
2019;4233;Kallern;19;2;CVP;PDC;PPD;CVP;280;226;54;14.791336503;11.227024342;3.5643121611;0;2
2019;4233;Kallern;19;3;SP;PS;PS;SP;138;187;-49;7.2900158479;9.2896174863;-1.999601638;0;5
2019;4233;Kallern;19;4;SVP;UDC;UDC;SVP;746;980;-234;39.40834654;48.68355688;-9.27521034;1;1
2019;4233;Kallern;19;7;EVP;PEV;PEV;EVP;2;3;-1;0.1056524036;0.1490312966;-0.043378893;0;10
2019;4233;Kallern;19;13;GPS;PES;PES;GPS;162;81;81;8.557844691;4.0238450075;4.5339996835;0;4
2019;4233;Kallern;19;16;EDU;UDF;UDF;EDU;35;36;-1;1.8489170629;1.7883755589;0.060541504;0;9
2019;4233;Kallern;19;31;GLP;PVL;PVL;GLP;169;71;98;8.9276281035;3.5270740189;5.4005540847;0;3
2019;4233;Kallern;19;32;BDP;PBD;PBD;BDP;113;190;-77;5.969360803;9.4386487829;-3.46928798;0;7
2019;4233;Kallern;19;35;Übrige;Autres;Rimanenti;Others;112;63;49;5.9165346012;3.129657228;2.7868773731;0;8
2019;4234;Merenschwand;19;1;FDP;PLR;PLR;FDP;1816;2469;-653;10.526315789;13.282048523;-2.755732734;0;3
2019;4234;Merenschwand;19;2;CVP;PDC;PPD;CVP;4069;3509;560;23.585671227;18.87675507;4.7089161563;0;2
2019;4234;Merenschwand;19;3;SP;PS;PS;SP;1328;1885;-557;7.6976582425;10.140405616;-2.442747374;0;4
2019;4234;Merenschwand;19;4;SVP;UDC;UDC;SVP;6303;7512;-1209;36.534894505;40.41099575;-3.876101245;1;1
2019;4234;Merenschwand;19;7;EVP;PEV;PEV;EVP;182;216;-34;1.0549501507;1.1619775136;-0.107027363;0;9
2019;4234;Merenschwand;19;13;GPS;PES;PES;GPS;1173;790;383;6.7992116856;4.2498251654;2.5493865202;0;6
2019;4234;Merenschwand;19;16;EDU;UDF;UDF;EDU;121;123;-2;0.7013679573;0.6616816397;0.0396863177;0;10
2019;4234;Merenschwand;19;31;GLP;PVL;PVL;GLP;1246;706;540;7.2223510318;3.7979450212;3.4244060105;0;5
2019;4234;Merenschwand;19;32;BDP;PBD;PBD;BDP;574;893;-319;3.3271504753;4.8039162946;-1.476765819;0;7
2019;4234;Merenschwand;19;35;Übrige;Autres;Rimanenti;Others;440;486;-46;2.5504289358;2.6144494056;-0.06402047;0;8
2019;4235;Mühlau;19;1;FDP;PLR;PLR;FDP;446;479;-33;8.8862323172;7.8344782466;1.0517540705;0;3
2019;4235;Mühlau;19;2;CVP;PDC;PPD;CVP;937;986;-49;18.669057581;16.126921819;2.5421357624;0;2
2019;4235;Mühlau;19;3;SP;PS;PS;SP;388;483;-95;7.7306236302;7.8999018646;-0.169278234;0;4
2019;4235;Mühlau;19;4;SVP;UDC;UDC;SVP;2138;3105;-967;42.598127117;50.785083415;-8.186956298;1;1
2019;4235;Mühlau;19;7;EVP;PEV;PEV;EVP;84;75;9;1.6736401674;1.2266928361;0.4469473313;0;9
2019;4235;Mühlau;19;13;GPS;PES;PES;GPS;369;215;154;7.3520621638;3.5165194635;3.8355427003;0;5
2019;4235;Mühlau;19;16;EDU;UDF;UDF;EDU;31;36;-5;0.6176529189;0.5888125613;0.0288403576;0;10
2019;4235;Mühlau;19;31;GLP;PVL;PVL;GLP;322;282;40;6.4156206416;4.6123650638;1.8032555778;0;6
2019;4235;Mühlau;19;32;BDP;PBD;PBD;BDP;169;366;-197;3.3672046224;5.9862610402;-2.619056418;0;7
2019;4235;Mühlau;19;35;Übrige;Autres;Rimanenti;Others;135;87;48;2.6897788404;1.4229636899;1.2668151505;0;8
2019;4236;Muri (AG);19;1;FDP;PLR;PLR;FDP;3828;4618;-790;10.898220641;12.984675945;-2.086455305;0;5
2019;4236;Muri (AG);19;2;CVP;PDC;PPD;CVP;5948;5495;453;16.933807829;15.450583439;1.4832243904;0;2
2019;4236;Muri (AG);19;3;SP;PS;PS;SP;5512;5558;-46;15.69252669;15.627723886;0.0648028045;0;3
2019;4236;Muri (AG);19;4;SVP;UDC;UDC;SVP;10916;13460;-2544;31.077580071;37.846197104;-6.768617033;1;1
2019;4236;Muri (AG);19;7;EVP;PEV;PEV;EVP;510;661;-151;1.4519572954;1.8585688177;-0.406611522;0;9
2019;4236;Muri (AG);19;13;GPS;PES;PES;GPS;3916;2009;1907;11.148754448;5.6488120343;5.4999424141;0;4
2019;4236;Muri (AG);19;16;EDU;UDF;UDF;EDU;148;197;-49;0.4213523132;0.5539153662;-0.132563053;0;10
2019;4236;Muri (AG);19;31;GLP;PVL;PVL;GLP;2728;1631;1097;7.7665480427;4.5859693519;3.1805786908;0;6
2019;4236;Muri (AG);19;32;BDP;PBD;PBD;BDP;760;1311;-551;2.1637010676;3.6862083509;-1.522507283;0;8
