gemeinde_bezeichnung;wahlbeteiligung
Meiringen;45.772685042
Schattenhalb;43.356643357
Boltigen;49.716981132
Lenk;47.733478973
St. Stephan;62.9417383
Zweisimmen;51.782608696
Gsteig;43.633762518
Lauenen;52.893890675
Saanen;49.571858366
Guggisberg;44.27244582
Rüschegg;39.739190117
Schwarzenburg;48.327003075
Belp;48.860638043
Burgistein;52.863436123
Gerzensee;54.49790795
Gurzelen;50.983358548
Jaberg;57.391304348
Kaufdorf;61.25
Kehrsatz;51.443375278
Kirchdorf (BE);53.986486486
Kirchenthurnen;49.333333333
Lohnstorf;62.068965517
Mühlethurnen;58.266309205
Riggisberg;51.038575668
Rüeggisberg;49.700996678
Rümligen;56.703910615
Seftigen;47.648136836
Toffen;51.134564644
Uttigen;52.56097561
Wattenwil;46.140939597
Wald (BE);52.463768116
Eggiwil;40.572556762
Langnau im Emmental;44.86565576
Lauperswil;41.081081081
Röthenbach im Emmental;44.995044599
Rüderswil;41.494194851
Schangnau;54.155844156
Signau;48.855311355
Trub;39.928315412
Trubschachen;44.224137931
Amsoldingen;49.090909091
Blumenstein;43.719571568
Buchholterberg;54.820717131
Eriz;51.693002257
Fahrni;51.212121212
Heiligenschwendi;51.291512915
Heimberg;40.497826946
Hilterfingen;55.275590551
Homberg;53.684210526
Horrenbach-Buchen;59.550561798
Oberhofen am Thunersee;59.770114943
Oberlangenegg;50
Pohlern;46.315789474
Schwendibach;51.546391753
Sigriswil;54.734468938
Steffisburg;46.586209807
Teuffenthal (BE);58.041958042
Thierachern;50.423728814
Thun;42.772951902
Uebeschi;55.769230769
Uetendorf;50.413043478
Unterlangenegg;47.5
Wachseldorn;52.51396648
Zwieselberg;52.742616034
Forst-Längenbühl;55.806451613
Affoltern im Emmental;53.404255319
Dürrenroth;47.368421053
Eriswil;41.549295775
Huttwil;44.682017544
Lützelflüh;47.752307234
Rüegsau;48.089292471
Sumiswald;40.801886792
Trachselwald;43.548387097
Walterswil (BE);48.917748918
Wyssachen;44.703389831
Attiswil;43.005181347
Berken;70
Bettenhausen;47.663551402
Farnern;47.457627119
Graben;48.863636364
Heimenhausen;40.184757506
Herzogenbuchsee;44.057084608
Inkwil;44.359464627
Niederbipp;35.858418789
Niederönz;45.819935691
Oberbipp;41.847389558
Ochlenberg;55.416666667
Rumisberg;51.785714286
Seeberg;48.459167951
Thörigen;43.037974684
Walliswil bei Niederbipp;46.285714286
Walliswil bei Wangen;39.215686275
Wangen an der Aare;40.626920713
Wangenried;44.542772861
Wiedlisbach;36.740829826
Wolfisberg;48.076923077
Doppleschwand;50.877192982
Entlebuch;55.074807926
Flühli;64.673913043
Hasle (LU);55.52260934
Romoos;63.600782779
Schüpfheim;60.619610348
Werthenstein;49.82911825
Escholzmatt-Marbach;52.918403812
Aesch (LU);50.825082508
Altwis;50.877192982
Ballwil;51.042196238
Emmen;36.603028308
Ermensee;55.122655123
Eschenbach (LU);54.405540593
Hitzkirch;51.363140676
Hochdorf;44.640848465
Hohenrain;59.041016753
Inwil;48.507042254
Rain;55.03992016
Römerswil;53.639240506
Rothenburg;54.176567355
Schongau;46.471371505
Adligenswil;54.245043213
Buchrain;44.298463064
Dierikon;33.6400818
Ebikon;40.110261026
Gisikon;42.477876106
Greppen;49.45799458
Honau;43.243243243
Horw;51.543624161
Kriens;45.375013336
Luzern;49.449351626
Malters;48.117870722
Meggen;58.782742681
Meierskappel;46.417112299
Root;36.854381873
Schwarzenberg;54.071146245
Udligenswil;56.699751861
Vitznau;47.440273038
Weggis;50.017355085
Beromünster;52.414553473
Büron;44.614361702
Buttisholz;53.887399464
Eich;57.470355731
Geuensee;43.398392652
Grosswangen;54.054054054
Hildisrieden;58.367586612
Knutwil;47.29981378
Mauensee;50.656660413
Neuenkirch;46.536025337
Nottwil;51.572327044
Oberkirch;56.619633744
Rickenbach (LU);48.388581952
Ruswil;54.060963618
Schenkon;54.923903312
Schlierbach;57.5
Sempach;59.275410936
Sursee;51.288586803
Triengen;46.93658187
Wolhusen;49.544958136
Alberswil;46.137339056
Altbüron;49.108367627
Altishofen;50.392927308
Dagmersellen;43.962264151
Ebersecken;62.730627306
Egolzwil;49.818181818
Ettiswil;50.179763739
Fischbach;47.826086957
Gettnau;46.713286713
Grossdietwil;52.904238619
Hergiswil bei Willisau;51.378809869
Luthern;46.344086022
Menznau;56.262135922
Nebikon;45.04324684
Pfaffnau;43.504366812
Reiden;40.251716247
Roggliswil;44.741873805
Schötz;41.681260946
Ufhusen;51.259259259
Wauwil;46.292296616
Wikon;39.494949495
Zell (LU);46.702923182
Willisau;53.922274199
Altdorf (UR);50.856627592
Andermatt;42.857142857
Attinghausen;48.764940239
Bauen;60.606060606
Bürglen (UR);44.31410883
Erstfeld;44.422546315
Flüelen;47.602004295
Göschenen;48.366013072
Gurtnellen;41.888619855
Hospental;36.805555556
Isenthal;41.755319149
Realp;53.333333333
Schattdorf;45.911949686
Seedorf (UR);51.529051988
Seelisberg;37.060041408
Silenen;36.96369637
Sisikon;39.574468085
Spiringen;37.758112094
Unterschächen;48.529411765
Wassen;45.52238806
Einsiedeln;49.465811966
Gersau;51.295336788
Feusisberg;48.319952423
Freienbach;46.784201714
Wollerau;50.807479813
Küssnacht (SZ);51.966682092
Altendorf;48.163178129
Galgenen;45.449189985
Innerthal;54.605263158
Lachen;46.058170685
Reichenburg;39.196617336
Schübelbach;37.488457987
Tuggen;42.977031802
Vorderthal;39.42428035
Wangen (SZ);43.915198238
Alpthal;57.510729614
Arth;47.603305785
Illgau;53.758169935
Ingenbohl;51.620825147
Lauerz;53.875476493
Morschach;51.805555556
Muotathal;50.4315197
Oberiberg;59.661495063
Riemenstalden;69.090909091
Rothenthurm;55.806654112
Sattel;52.949852507
Schwyz;53.133022725
Steinen;49.454682211
Steinerberg;48.231966054
Unteriberg;53.956043956
Alpnach;50.822755054
Engelberg;60.483579935
Giswil;50.702662722
Kerns;55.191972077
Lungern;58.03237858
Sachseln;54.144241119
Sarnen;56.841964046
Beckenried;49.740548554
Buochs;48.894736842
Dallenwil;52.047189452
Emmetten;42.911877395
Ennetbürgen;52.503576538
Ennetmoos;46.35193133
Hergiswil (NW);50.211917228
Oberdorf (NW);53.606487409
Stans;52.436808194
Stansstad;47.080291971
Wolfenschiessen;52.655150352
Glarus Nord;34.856799863
Glarus Süd;46.864310148
Glarus;41.124713083
Baar;50.287868403
Cham;48.526164186
Hünenberg;56.158940397
Menzingen;55.651066539
Neuheim;54.583333333
Oberägeri;57.524464427
Risch;44.89089541
Steinhausen;49.659216992
Unterägeri;53.77476352
Walchwil;60.103871577
Zug;54.520358868
Châtillon (FR);48.467966574
Cheiry;39.416058394
Cugy (FR);47.512864494
Fétigny;42.613636364
Gletterens;40.440165062
Lully (FR);42.127071823
Ménières;43.773584906
Montagny (FR);36.740331492
Nuvilly;39.867109635
Prévondavaux;53.333333333
Saint-Aubin (FR);45.293072824
Sévaz;46.961325967
Surpierre;32.046332046
Vallon;36.917562724
Les Montets;37.091675448
Delley-Portalban;41.119221411
Belmont-Broye;37.678904792
Estavayer;39.557939217
Cheyres-Châbles;43.145925458
Auboranges;42.564102564
Billens-Hennens;40.767824497
Chapelle (Glâne);47.02970297
Le Châtelard;43.511450382
Châtonnaye;43.262411348
Ecublens (FR);42.276422764
Grangettes;48.920863309
Massonnens;62.039660057
Mézières (FR);43.902439024
Montet (Glâne);34.117647059
Romont (FR);41.231488698
Rue;41.609421001
Siviriez;42.547603414
Ursy;34.500959693
Villaz;45.812182741
Vuisternens-devant-Romont;43.304668305
Villorsonnens;40.81237911
Torny;42.12962963
La Folliaz;45.321637427
Haut-Intyamon;43.542074364
Pont-en-Ogoz;44.750558451
Botterens;42.5
Broc;40.906106369
Bulle;40.881485337
Châtel-sur-Montsalvens;51.136363636
Corbières;45.559210526
Crésuz;55.118110236
Echarlens;45.569620253
Grandvillard;48.615916955
Gruyères;44.771723122
Hauteville;40.887850467
Jaun;47.580645161
Marsens;45.211930926
Morlon;52.338530067
Le Pâquier (FR);48.226950355
Pont-la-Ville;45.153664303
Riaz;44.176931691
La Roche;40.455341506
Sâles;50.246791708
Sorens;51.568894952
Vaulruz;48.095909732
Vuadens;43.344051447
Bas-Intyamon;42.348008386
Val-de-Charmey;47.547605309
Arconciel;42.128935532
Autigny;41.917293233
Avry;49.710982659
Belfaux;45.858148349
Chénens;34.146341463
Corminboeuf;53.036876356
Corserey;42.142857143
Cottens (FR);46.194503171
Ependes (FR);50.277777778
Ferpicloz;43.75
Fribourg;46.589238459
Givisiez;40.863579474
Granges-Paccot;37.273198548
Grolley;45.053147997
Marly;47.181628392
Matran;49.695121951
Neyruz (FR);46.507462687
Noréaz;47.410358566
Pierrafortscha;54.867256637
Ponthaux;37.403100775
Le Mouret;39.981659789
Prez;45.874125874
Senèdes;57.272727273
Treyvaux;51.960784314
Villars-sur-Glâne;47.680722892
Villarsel-sur-Marly;61.70212766
Hauterive (FR);43.868212325
La Brillaz;44.061583578
La Sonnaz;43.566878981
Gibloux;41.279069767
Courgevaux;39.489671932
Courtepin;39.124140427
Cressier (FR);46.587030717
Fräschels;57.471264368
Galmiz;44.444444444
Gempenach;45.634920635
Greng;64.341085271
Gurmels;41.927167257
Kerzers;42.50245018
Kleinbösingen;43.103448276
Meyriez;61.711711712
Misery-Courtion;33.905579399
Muntelier;53.491620112
Murten;46.112407973
Ried bei Kerzers;49.808917197
Ulmiz;42.898550725
Mont-Vully;42.841369157
Alterswil;46.258064516
Brünisried;37.83269962
Düdingen;45.527075199
Giffers;37.807986406
Bösingen;42.817679558
Heitenried;44.817927171
Plaffeien;38.292507205
Plasselb;37.684729064
Rechthalten;40.571428571
St. Antoni;45.175169023
St. Silvester;38.311688312
St. Ursen;49.235474006
Schmitten (FR);47.648472365
Tafers;48.513169074
Tentlingen;40.53518335
Ueberstorf;46.893255443
Wünnewil-Flamatt;41.632653061
Attalens;36.762075134
Bossonnens;36.434977578
Châtel-Saint-Denis;37.435137139
Granges (Veveyse);45.500848896
Remaufens;42.225201072
Saint-Martin (FR);41.643454039
Semsales;44.306418219
Le Flon;41.118012422
La Verrerie;40.892193309
Egerkingen;42.455482662
Härkingen;48.328816621
Kestenholz;50.474799123
Neuendorf;45.649432535
Niederbuchsiten;40.201567749
Oberbuchsiten;40.902679831
Oensingen;40.023201856
Wolfwil;45.578635015
Aedermannsdorf;57.456140351
Balsthal;47.504302926
Gänsbrunnen;58.823529412
Herbetswil;51.03926097
Holderbank (SO);43.75
Laupersdorf;52.154195011
Matzendorf;48.29600779
Mümliswil-Ramiswil;53.624733475
Welschenrohr-Gänsbrunnen;49.382716049
Biezwil;44.22310757
Lüterkofen-Ichertswil;44.242424242
Lüterswil-Gächliwil;53.816793893
Messen;47.266313933
Schnottwil;44.555555556
Unterramsern;50.279329609
Lüsslingen-Nennigkofen;46.153846154
Buchegg;49.230769231
Bättwil;40.458937198
Büren (SO);49.001331558
Dornach;46.380820655
Gempen;51.360544218
Hochwald;52.282157676
Hofstetten-Flüh;44.550843593
Metzerlen-Mariastein;44.034090909
Nuglar-St. Pantaleon;45.283018868
Rodersdorf;55.653883972
Seewen;42.583732057
