gemeinde_bezeichnung;wahlbeteiligung
Mervelier;42.191142191
Mettembert;63.291139241
Movelier;40
Pleigne;46.372239748
Rossemaison;49.802371542
Saulcy;50.46728972
Soyhières;45.994065282
Haute-Sorne;38.817635271
Val Terbi;37.616161616
Le Bémont (JU);48.763250883
Les Bois;34.235171696
Les Breuleux;43.49005425
La Chaux-des-Breuleux;39.56043956
Les Enfers;53.719008264
Les Genevez (JU);39.058823529
Lajoux (JU);40.909090909
Montfaucon;44.276457883
Muriaux;45.057471264
Le Noirmont;39.423076923
Saignelégier;45.037037037
Saint-Brais;50.769230769
Soubey;35.416666667
Alle;47.512617159
Beurnevésin;35.652173913
Boncourt;41.147378833
Bonfol;37.913907285
Bure;44.563279857
Coeuve;45.259391771
Cornol;43.317422434
Courchavon;57.575757576
Courgenay;45.402298851
Courtedoux;50.082372323
Damphreux-Lugnez;52
Fahy;40
Fontenais;52.582159624
Grandfontaine;48
Lugnez;42
Porrentruy;45.11647788
Vendlincourt;44.171779141
Basse-Allaine;41.578947368
Clos du Doubs;43.582640813
Haute-Ajoie;44.747474747
La Baroche;47.881355932
ZH-Ausland-CH;19.125168237
LU-Ausland-CH;23.424449506
UR-Ausland-CH;20.089285714
FR-CH de l'étranger;25.971401927
BS-Ausland-CH;19.220600069
AI-Ausland-CH;12.472647702
SG-Ausland-CH;21.242989585
AG-Ausland-CH;18.215218022
TG-Ausland-CH;22.54927054
VD-CH de l'étranger;20.155353607
VS-CH de l'étranger;21.01042502
GE-CH de l'étranger;20.943010019
